cluster_id,topic,cluster_status,cluster_source_refs,cluster_updated_at,report_id,report_status,report_updated_at
kcl-57f2e99b74eed2ab,"OpenAI: release and launch activity",candidate,6,2026-06-29T11:46:46.373071+00:00,krpt-29e2ff8aa9804737,draft,2026-06-29T11:46:46.381560+00:00
kcl-ae57bdffb9f862cf,"Nomic Ai: release and launch activity",candidate,6,2026-06-29T11:46:45.885558+00:00,krpt-c6b943f1ab0b0aa5,draft,2026-06-29T12:29:56.104518+00:00
kcl-ae57bdffb9f862cf,"Nomic Ai: release and launch activity",candidate,6,2026-06-29T11:46:45.885558+00:00,krpt-c6fc6fb90592140e,draft,2026-06-29T11:46:45.894217+00:00
kcl-de5a909faa438f6a,"Mozilla Ai: release and launch activity",candidate,6,2026-06-29T11:46:45.422991+00:00,krpt-5358803743d4e29e,draft,2026-06-29T11:46:45.431547+00:00
kcl-91830fa87bde5af2,"Meta Llama: release and launch activity",candidate,6,2026-06-29T11:46:44.947162+00:00,krpt-4da7d8c04ca41a27,draft,2026-06-29T11:46:44.955738+00:00
kcl-1117f2732c230ecd,"Lmstudio Ai: release and launch activity",candidate,6,2026-06-29T11:46:44.485077+00:00,krpt-7b40ac8771e41c6b,draft,2026-06-29T12:31:03.398296+00:00
kcl-1117f2732c230ecd,"Lmstudio Ai: release and launch activity",candidate,6,2026-06-29T11:46:44.485077+00:00,krpt-33033ab09c678028,draft,2026-06-29T11:46:44.493322+00:00
kcl-11e8b43e747c7e0f,"Langflow Ai: release and launch activity",candidate,6,2026-06-29T11:46:44.017706+00:00,krpt-0507fcdf66434dc9,draft,2026-06-29T11:46:44.026142+00:00
kcl-d6083d4c0117e365,"Langchain Ai: release and launch activity",candidate,6,2026-06-29T11:46:43.557483+00:00,krpt-6aaf6510d857718a,draft,2026-06-29T11:46:43.566236+00:00
kcl-982322fb7eaa9465,"Lancedb: release and launch activity",candidate,6,2026-06-29T11:46:43.098658+00:00,krpt-1895e83c5540a9c7,draft,2026-06-29T12:31:03.451457+00:00
kcl-982322fb7eaa9465,"Lancedb: release and launch activity",candidate,6,2026-06-29T11:46:43.098658+00:00,krpt-fc8890aed2daf148,draft,2026-06-29T11:46:43.106861+00:00
kcl-e46c0f93e6fb761b,"Guardrails Ai: release and launch activity",candidate,6,2026-06-29T11:46:42.625506+00:00,krpt-70a2e284d04ce04d,draft,2026-06-29T11:46:42.646453+00:00
kcl-2aca0d46733b00e0,"Google: release and launch activity",candidate,6,2026-06-29T11:46:42.157379+00:00,krpt-4475894a83cd018d,draft,2026-06-29T11:46:42.165946+00:00
kcl-cddd5bdcf18b040e,"Neuml: release and launch activity",candidate,7,2026-06-29T11:45:20.864167+00:00,krpt-933ed24d08d71f87,draft,2026-06-29T12:18:11.436687+00:00
kcl-cddd5bdcf18b040e,"Neuml: release and launch activity",candidate,7,2026-06-29T11:45:20.864167+00:00,krpt-8301ac448f53077e,draft,2026-06-29T11:45:20.875097+00:00
kcl-3d5f60d5dddcada9,"Mlabonne: release and launch activity",candidate,7,2026-06-29T11:45:20.316829+00:00,krpt-994cce84d276d3f9,draft,2026-06-29T12:18:11.494493+00:00
kcl-3d5f60d5dddcada9,"Mlabonne: release and launch activity",candidate,7,2026-06-29T11:45:20.316829+00:00,krpt-8536280fe38ab4c9,draft,2026-06-29T11:45:20.328190+00:00
kcl-1d3af746ee9d803d,"Milvus Io: release and launch activity",candidate,7,2026-06-29T11:45:19.778782+00:00,krpt-10277530243aafad,draft,2026-06-29T11:45:19.795997+00:00
kcl-01472bcb742fa9f2,"Microsoft: release and launch activity",candidate,7,2026-06-29T11:45:19.250628+00:00,krpt-46e38ece7ef05d17,draft,2026-06-29T11:45:19.261933+00:00
kcl-befc2bdc9fd98156,"Marqo Ai: release and launch activity",candidate,7,2026-06-29T11:45:18.718408+00:00,krpt-ad04efc0e58c707d,draft,2026-06-29T12:18:11.549667+00:00
kcl-befc2bdc9fd98156,"Marqo Ai: release and launch activity",candidate,7,2026-06-29T11:45:18.718408+00:00,krpt-64a02ecc261ae7d0,draft,2026-06-29T11:45:18.729408+00:00
kcl-4306e5174f73d3f2,"Letta Ai: release and launch activity",candidate,7,2026-06-29T11:45:18.191710+00:00,krpt-8498cbdca5f4c94e,draft,2026-06-29T11:45:18.208146+00:00
